iteration,solution
1,[]
2,[(2, 5), (5, 2), (10, 4), (14, 10), (13, 23), (23, 13), (22, 19)]
3,[(2, 5), (5, 2), (4, 10), (14, 10), (10, 14), (19, 22), (22, 19)]
4,[(2, 5), (5, 2), (4, 10), (10, 4), (10, 14), (13, 23), (23, 13)]
5,[(2, 5), (4, 10), (10, 4), (14, 10), (10, 14), (13, 23), (22, 19)]
6,[(2, 5), (4, 10), (10, 4), (14, 10), (10, 14), (13, 23), (22, 19)]
7,[(2, 5), (4, 10), (10, 4), (14, 10), (10, 14), (13, 23), (22, 19)]
8,[(2, 5), (4, 10), (10, 4), (14, 10), (10, 14), (13, 23), (22, 19)]
9,[(2, 5), (4, 10), (10, 4), (14, 10), (10, 14), (13, 23), (22, 19)]
10,[(2, 5), (4, 10), (10, 4), (14, 10), (10, 14), (13, 23), (22, 19)]
11,[(2, 5), (4, 10), (10, 4), (14, 10), (10, 14), (13, 23), (22, 19)]
12,[(2, 5), (4, 10), (10, 4), (14, 10), (10, 14), (13, 23), (22, 19)]
13,[(2, 5), (4, 10), (10, 4), (14, 10), (10, 14), (13, 23), (22, 19)]
14,[(2, 5), (4, 10), (10, 4), (14, 10), (10, 14), (13, 23), (22, 19)]
15,[(2, 5), (4, 10), (10, 4), (14, 10), (10, 14), (13, 23), (22, 19)]
16,[(2, 5), (4, 10), (10, 4), (14, 10), (10, 14), (13, 23), (22, 19)]
17,[(2, 5), (4, 10), (10, 4), (14, 10), (10, 14), (13, 23), (22, 19)]
18,[(2, 5), (4, 10), (10, 4), (14, 10), (10, 14), (13, 23), (22, 19)]
19,[(2, 5), (4, 10), (10, 4), (14, 10), (10, 14), (13, 23), (22, 19)]
20,[(2, 5), (4, 10), (10, 4), (14, 10), (10, 14), (13, 23), (22, 19)]
