iteration,solution
1,[]
2,[(2, 5), (5, 2), (13, 23)]
3,[(10, 4), (14, 10), (22, 19)]
4,[(4, 10), (10, 14), (23, 13)]
5,[(5, 2), (4, 10), (22, 19)]
6,[(5, 2), (10, 4), (14, 10)]
7,[(2, 5), (4, 10), (22, 19)]
8,[(4, 10), (14, 10), (13, 23)]
9,[(4, 10), (10, 4), (10, 14)]
10,[(4, 10), (10, 14), (22, 19)]
11,[(4, 10), (10, 14), (22, 19)]
12,[(4, 10), (10, 14), (22, 19)]
13,[(4, 10), (10, 14), (22, 19)]
14,[(4, 10), (10, 14), (22, 19)]
15,[(4, 10), (10, 14), (22, 19)]
16,[(4, 10), (10, 14), (22, 19)]
17,[(4, 10), (10, 14), (22, 19)]
18,[(4, 10), (10, 14), (22, 19)]
19,[(4, 10), (10, 14), (22, 19)]
20,[(4, 10), (10, 14), (22, 19)]
