iteration,solution
1,[]
2,[(2, 5), (5, 2), (13, 23), (23, 13), (22, 19)]
3,[(5, 2), (4, 10), (10, 4), (14, 10), (10, 14)]
4,[(2, 5), (4, 10), (10, 4), (14, 10), (22, 19)]
5,[(4, 10), (10, 4), (14, 10), (13, 23), (23, 13)]
6,[(2, 5), (4, 10), (10, 14), (19, 22), (22, 19)]
7,[(5, 2), (4, 10), (10, 4), (14, 10), (13, 23)]
8,[(4, 10), (10, 4), (14, 10), (10, 14), (22, 19)]
9,[(4, 10), (10, 4), (14, 10), (10, 14), (13, 23)]
10,[(2, 5), (4, 10), (10, 4), (14, 10), (10, 14)]
11,[(2, 5), (4, 10), (10, 4), (14, 10), (10, 14)]
12,[(2, 5), (4, 10), (10, 4), (14, 10), (10, 14)]
13,[(2, 5), (4, 10), (10, 4), (14, 10), (10, 14)]
14,[(2, 5), (4, 10), (10, 4), (14, 10), (10, 14)]
15,[(2, 5), (4, 10), (10, 4), (14, 10), (10, 14)]
16,[(2, 5), (4, 10), (10, 4), (14, 10), (10, 14)]
17,[(2, 5), (4, 10), (10, 4), (14, 10), (10, 14)]
18,[(2, 5), (4, 10), (10, 4), (14, 10), (10, 14)]
19,[(2, 5), (4, 10), (10, 4), (14, 10), (10, 14)]
20,[(2, 5), (4, 10), (10, 4), (14, 10), (10, 14)]
